abs_max_nonzero,abs_mean_all_offdiag,abs_mean_nonzero,abs_median_nonzero,abs_q90_nonzero,abs_q999_nonzero,abs_q99_nonzero,abs_std_all_offdiag,abs_std_nonzero,log10_abs_mean_nonzero,log10_abs_median_nonzero,log10_abs_q10_nonzero,log10_abs_q90_nonzero,log10_abs_q99_nonzero,log10_abs_std_nonzero,method,nonzero_count,nonzero_density_offdiag,offdiag_count,phase,pruning_pct,pruning_seed,run_id,signed_mean_all_offdiag,signed_std_all_offdiag,source_model_label,source_network_seed,strategy,task_short,zero_count
0.5082520842552185,0.060120454778755356,0.30082878774217914,0.3010680079460144,0.30840075612068174,0.31820306795835496,0.31402685403823855,0.12033105361219835,0.0063537768864311076,-0.5217774054812465,-0.5213353909856944,-0.53283876488557,-0.510884565839889,-0.5030332116043744,0.009173219216852692,L-NP rescale,52287,0.1998494068003914,261632,post,80,2,taskpres_dm2seql_netseed2_vnp_rescale_p80_pruneseed2,-5.995323086419888e-05,0.1345140436974379,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,noise_prune,dm2seql,209345
0.3958001136779785,0.061807094728411456,0.061807094728411456,0.05603707209229469,0.11844595968723297,0.2591252331435684,0.18684385985136034,0.04281340396081572,0.04281340396081572,-1.3654977426004038,-1.2515245644532271,-1.9592345265792608,-0.9264797489173401,-0.7285211698729188,0.4572830733549851,Unpruned baseline,261632,1.0,261632,pre,80,0,baseline_dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0.00014996669478533012,0.07518698043856578,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,none,dmsintseq,0
0.3958001136779785,0.061727947951317266,0.3090673724193179,0.31953099370002747,0.32709503173828125,0.332925843924284,0.33072515547275544,0.12402645416591318,0.023975537708737255,-0.5114065402663324,-0.4954870099936785,-0.5666834827317017,-0.4853260523441349,-0.48053277073791995,0.03664964957978904,L-NP rescale,52254,0.19972327544031312,261632,post,80,0,taskpres_dmsintseq_netseed0_vnp_rescale_p80_pruneseed0,-0.00014018754264314288,0.13853837460683155,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,noise_prune,dmsintseq,209378
0.3958001136779785,0.06183275869223262,0.30914252478819426,0.3195645809173584,0.32709115743637085,0.33282702055573465,0.3307430249452591,0.12412307545710358,0.02394628170398599,-0.511299606160205,-0.49544136191301036,-0.566208537194834,-0.485331196409528,-0.4805093059010861,0.03665521208970129,L-NP rescale,52330,0.20001375978473582,261632,post,80,1,taskpres_dmsintseq_netseed0_vnp_rescale_p80_pruneseed1,4.6736569191218004e-05,0.1386716471529591,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,noise_prune,dmsintseq,209302
0.3958001136779785,0.061786867294632765,0.30909028038297054,0.31954824924468994,0.3271346688270569,0.33286469799280166,0.33068357199430465,0.12407534271718175,0.023942153817153016,-0.5113694552716064,-0.49546355754194815,-0.5670412199134882,-0.48527342810848023,-0.48058737983516125,0.036582569727028356,L-NP rescale,52300,0.19989909491193739,261632,post,80,2,taskpres_dmsintseq_netseed0_vnp_rescale_p80_pruneseed2,0.00013098901833923362,0.13860840696850873,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,noise_prune,dmsintseq,209332
0.3486803472042084,0.059884738247961235,0.059884738247961235,0.05517894774675369,0.11380224376916885,0.23860477709770256,0.1708933956921102,0.0403183127357304,0.0403183127357304,-1.3757888489591648,-1.2582265857008608,-1.9643874020243544,-0.9438491751419522,-0.7672747277065516,0.4554340521706919,Unpruned baseline,261632,1.0,261632,pre,80,0,baseline_dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0.00018703696211327855,0.07219219649004865,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,none,dmsintseq,0
0.3486803472042084,0.05967326234393241,0.2994789183911556,0.30536873638629913,0.3106160044670105,0.3154329300522804,0.3135028862953186,0.11981119319459188,0.014983826431077334,-0.5242224354507821,-0.5151754280193761,-0.5568039984662916,-0.507776171039403,-0.5037584564398332,0.0230832245270067,L-NP rescale,52132,0.19925697162426614,261632,post,80,0,taskpres_dmsintseq_netseed1_vnp_rescale_p80_pruneseed0,9.966064850506309e-05,0.13384920739860484,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,noise_prune,dmsintseq,209500
0.3486803472042084,0.05999601354526125,0.29946156811480606,0.3052993416786194,0.3106426954269409,0.3153080940246582,0.3135184645652771,0.1200485098063924,0.014931317467140973,-0.5242428393554243,-0.5152741321757934,-0.5569069360891309,-0.5077388541001012,-0.5037368764515548,0.022982642873020515,L-NP rescale,52417,0.20034628791585127,261632,post,80,1,taskpres_dmsintseq_netseed1_vnp_rescale_p80_pruneseed1,0.000295466780031479,0.1342053614705484,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,noise_prune,dmsintseq,209215
0.3486803472042084,0.06002480607294594,0.29953670797606274,0.3053523302078247,0.3105893611907959,0.31520900344848635,0.31342059016227725,0.12008378719337892,0.014726750080728683,-0.5241152428785565,-0.5151987614629786,-0.556661930153114,-0.5078134245097902,-0.5038724759632114,0.022584528383488848,L-NP rescale,52429,0.20039215386497064,261632,post,80,2,taskpres_dmsintseq_netseed1_vnp_rescale_p80_pruneseed2,-8.382305413814454e-05,0.1342500885083324,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,noise_prune,dmsintseq,209203
0.49289706349372864,0.06379893024308436,0.06379893024308436,0.05691158398985863,0.12239571884274482,0.3031654712855818,0.20810690656304362,0.04579386234040635,0.04579386234040635,-1.3544275066343088,-1.244799326741144,-1.9452127232104883,-0.9122337726767117,-0.6817135064202161,0.4581203345888181,Unpruned baseline,261632,1.0,261632,pre,80,0,baseline_dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,0.00021072705325225053,0.07853239409519525,dmsintseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,none,dmsintseq,0
