bin_index,bin_left,bin_right,bin_space,count,method,phase,pruning_pct
54,-0.919999999999999,-0.899999999999999,signed_offdiag_with_zeros,0,S-NP rescale,post,80
55,-0.899999999999999,-0.879999999999999,signed_offdiag_with_zeros,0,S-NP rescale,post,80
56,-0.879999999999999,-0.859999999999999,signed_offdiag_with_zeros,0,S-NP rescale,post,80
57,-0.859999999999999,-0.839999999999999,signed_offdiag_with_zeros,0,S-NP rescale,post,80
58,-0.839999999999999,-0.819999999999999,signed_offdiag_with_zeros,0,S-NP rescale,post,80
59,-0.819999999999999,-0.7999999999999989,signed_offdiag_with_zeros,0,S-NP rescale,post,80
60,-0.7999999999999989,-0.7799999999999989,signed_offdiag_with_zeros,0,S-NP rescale,post,80
61,-0.7799999999999989,-0.7599999999999989,signed_offdiag_with_zeros,0,S-NP rescale,post,80
62,-0.7599999999999989,-0.7399999999999989,signed_offdiag_with_zeros,0,S-NP rescale,post,80
63,-0.7399999999999989,-0.7199999999999989,signed_offdiag_with_zeros,0,S-NP rescale,post,80
64,-0.7199999999999989,-0.6999999999999988,signed_offdiag_with_zeros,0,S-NP rescale,post,80
65,-0.6999999999999988,-0.6799999999999988,signed_offdiag_with_zeros,0,S-NP rescale,post,80
66,-0.6799999999999988,-0.6599999999999988,signed_offdiag_with_zeros,0,S-NP rescale,post,80
67,-0.6599999999999988,-0.6399999999999988,signed_offdiag_with_zeros,0,S-NP rescale,post,80
68,-0.6399999999999988,-0.6199999999999988,signed_offdiag_with_zeros,0,S-NP rescale,post,80
69,-0.6199999999999988,-0.5999999999999988,signed_offdiag_with_zeros,0,S-NP rescale,post,80
70,-0.5999999999999988,-0.5799999999999987,signed_offdiag_with_zeros,0,S-NP rescale,post,80
71,-0.5799999999999987,-0.5599999999999987,signed_offdiag_with_zeros,12,S-NP rescale,post,80
72,-0.5599999999999987,-0.5399999999999987,signed_offdiag_with_zeros,10,S-NP rescale,post,80
73,-0.5399999999999987,-0.5199999999999987,signed_offdiag_with_zeros,33,S-NP rescale,post,80
74,-0.5199999999999987,-0.49999999999999867,signed_offdiag_with_zeros,81,S-NP rescale,post,80
