bin_index,bin_left,bin_right,bin_space,count,method,phase,pruning_pct
15,-4.999999999999997,-4.799999999999997,log10_abs_nonzero,359,Unpruned baseline,pre,80
16,-4.799999999999997,-4.599999999999997,log10_abs_nonzero,583,Unpruned baseline,pre,80
17,-4.599999999999997,-4.399999999999997,log10_abs_nonzero,880,Unpruned baseline,pre,80
18,-4.399999999999997,-4.199999999999997,log10_abs_nonzero,1429,Unpruned baseline,pre,80
19,-4.199999999999997,-3.9999999999999964,log10_abs_nonzero,2118,Unpruned baseline,pre,80
20,-3.9999999999999964,-3.7999999999999963,log10_abs_nonzero,3451,Unpruned baseline,pre,80
21,-3.7999999999999963,-3.599999999999996,log10_abs_nonzero,5479,Unpruned baseline,pre,80
22,-3.599999999999996,-3.399999999999996,log10_abs_nonzero,8730,Unpruned baseline,pre,80
23,-3.399999999999996,-3.1999999999999957,log10_abs_nonzero,13843,Unpruned baseline,pre,80
24,-3.1999999999999957,-2.9999999999999956,log10_abs_nonzero,21942,Unpruned baseline,pre,80
25,-2.9999999999999956,-2.7999999999999954,log10_abs_nonzero,34968,Unpruned baseline,pre,80
26,-2.7999999999999954,-2.599999999999995,log10_abs_nonzero,55287,Unpruned baseline,pre,80
27,-2.599999999999995,-2.399999999999995,log10_abs_nonzero,86872,Unpruned baseline,pre,80
28,-2.399999999999995,-2.199999999999995,log10_abs_nonzero,138012,Unpruned baseline,pre,80
29,-2.199999999999995,-1.9999999999999947,log10_abs_nonzero,217673,Unpruned baseline,pre,80
30,-1.9999999999999947,-1.7999999999999945,log10_abs_nonzero,345636,Unpruned baseline,pre,80
31,-1.7999999999999945,-1.5999999999999943,log10_abs_nonzero,542896,Unpruned baseline,pre,80
32,-1.5999999999999943,-1.3999999999999941,log10_abs_nonzero,837718,Unpruned baseline,pre,80
33,-1.3999999999999941,-1.199999999999994,log10_abs_nonzero,1236780,Unpruned baseline,pre,80
34,-1.199999999999994,-0.9999999999999938,log10_abs_nonzero,1524042,Unpruned baseline,pre,80
35,-0.9999999999999938,-0.7999999999999936,log10_abs_nonzero,1005762,Unpruned baseline,pre,80
36,-0.7999999999999936,-0.5999999999999934,log10_abs_nonzero,183071,Unpruned baseline,pre,80
37,-0.5999999999999934,-0.39999999999999325,log10_abs_nonzero,10766,Unpruned baseline,pre,80
38,-0.39999999999999325,-0.19999999999999307,log10_abs_nonzero,271,Unpruned baseline,pre,80
39,-0.19999999999999307,7.105427357601002e-15,log10_abs_nonzero,1,Unpruned baseline,pre,80
40,7.105427357601002e-15,0.20000000000000728,log10_abs_nonzero,0,Unpruned baseline,pre,80
41,0.20000000000000728,0.40000000000000746,log10_abs_nonzero,0,Unpruned baseline,pre,80
42,0.40000000000000746,0.6000000000000076,log10_abs_nonzero,0,Unpruned baseline,pre,80
43,0.6000000000000076,0.8000000000000078,log10_abs_nonzero,0,Unpruned baseline,pre,80
44,0.8000000000000078,1.000000000000008,log10_abs_nonzero,0,Unpruned baseline,pre,80
45,1.000000000000008,1.2000000000000082,log10_abs_nonzero,0,Unpruned baseline,pre,80
46,1.2000000000000082,1.4000000000000083,log10_abs_nonzero,0,Unpruned baseline,pre,80
47,1.4000000000000083,1.6000000000000085,log10_abs_nonzero,0,Unpruned baseline,pre,80
48,1.6000000000000085,1.8000000000000087,log10_abs_nonzero,0,Unpruned baseline,pre,80
49,1.8000000000000087,2.000000000000009,log10_abs_nonzero,0,Unpruned baseline,pre,80
50,2.000000000000009,2.200000000000009,log10_abs_nonzero,0,Unpruned baseline,pre,80
51,2.200000000000009,2.4000000000000092,log10_abs_nonzero,0,Unpruned baseline,pre,80
52,2.4000000000000092,2.6000000000000094,log10_abs_nonzero,0,Unpruned baseline,pre,80
53,2.6000000000000094,2.8000000000000096,log10_abs_nonzero,0,Unpruned baseline,pre,80
54,2.8000000000000096,3.0000000000000098,log10_abs_nonzero,0,Unpruned baseline,pre,80
