method_family,method,amount,task,source_model_label,pruning_seed,score_batch_seed,log10_rescale_left,log10_rescale_right,rescale_left,rescale_right,bin_width_log10,count
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,2.8000000000000003,3.0000000000000004,630.9573444801937,1000.000000000001,0.2,513
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,3.0,3.2,1000.0,1584.893192461114,0.2,286
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,3.2,3.4000000000000004,1584.893192461114,2511.886431509582,0.2,189
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,3.4000000000000004,3.6000000000000005,2511.886431509582,3981.0717055349774,0.2,146
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,3.6,3.8000000000000003,3981.0717055349733,6309.573444801937,0.2,67
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,3.8000000000000003,4.0,6309.573444801937,10000.0,0.2,47
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,4.0,4.2,10000.0,15848.93192461114,0.2,36
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,4.2,4.4,15848.93192461114,25118.864315095823,0.2,20
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,4.4,4.6000000000000005,25118.864315095823,39810.71705534977,0.2,17
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,4.6000000000000005,4.800000000000001,39810.71705534977,63095.73444801943,0.2,10
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,4.800000000000001,5.000000000000001,63095.73444801943,100000.0000000002,0.2,7
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,5.0,5.2,100000.0,158489.3192461114,0.2,7
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,5.2,5.4,158489.3192461114,251188.6431509582,0.2,1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,5.800000000000001,6.000000000000001,630957.3444801943,1000000.0000000021,0.2,1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,6.4,6.6000000000000005,2511886.4315095823,3981071.7055349774,0.2,1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,7.4,7.6000000000000005,25118864.315095823,39810717.055349775,0.2,1
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,0.0,0.2,1.0,1.5848931924611136,0.2,5902
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,0.2,0.4,1.5848931924611136,2.51188643150958,0.2,16416
L-NP,V-NP rescale,0.8,modcog:ctxdlydm1intseq,ctxdlydm1intseq_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,0.4,0.6000000000000001,2.51188643150958,3.981071705534973,0.2,49803
