method_family,method,amount,task,source_model_label,pruning_seed,score_batch_seed,positive_prob_count,rescale_min,rescale_mean,rescale_std,rescale_q50,rescale_q75,rescale_q90,rescale_q95,rescale_q99,rescale_q999,rescale_max,frac_rescale_gt10,frac_rescale_gt20,score_sum,score_max,scale_factor,capped_probs,sigma_used,adaptive_shift,adaptive_attempt
S-NP,S-NP rescale,0.8,modcog:dm1seqr,dm1seqr_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,261632,1.0,34.854217273476074,1074.5398691792352,5.653413112105355,11.419252856359774,28.72556448344733,57.58714912477861,291.8702085904379,3038.3860047959283,363882.4617458386,0.2856607754403131,0.14335402397260275,52303.97108997409,1.0,0.0018850844410713856,169,0.7429696872348609,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm1seqr,dm1seqr_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,1,100001,261632,1.0,34.81129482494352,1067.9449928678685,5.653336245477264,11.422607511740484,28.724034507744914,57.60759824818682,291.5828793817758,3041.994693651179,362263.2909748808,0.2856340203033268,0.14343046722113503,52303.960102805955,1.0,0.0018837631591818221,169,0.7424203168931821,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm1seqr,dm1seqr_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,2,100002,261632,1.0,34.856284390420214,1072.0056894676095,5.656636460415795,11.415221914346539,28.736906702226023,57.63661635685421,290.9294307206625,3056.010559429211,361709.12273776357,0.28570664138943247,0.14343046722113503,52303.90661099761,1.0,0.0018837454523637233,174,0.7427556973817858,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm1seqr,dm1seqr_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,0,100000,261632,1.0,37.93367588760211,3744.242331930346,5.677835596303741,11.571386679921527,29.076268269397513,58.0681647672406,289.7454066219973,2693.1664825195758,1874171.1371669467,0.2888828583659491,0.1452421722113503,52294.75187661266,1.0,0.002011590121458023,197,0.8746782500640531,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm1seqr,dm1seqr_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,1,100001,261632,1.0,37.99489570364387,3772.7870947257634,5.6787597224927,11.573854056934522,29.12191391290255,58.10894028298489,289.9269039694534,2701.1405359974615,1889082.3193344497,0.2889860567514677,0.14512750733855187,52294.69650831713,1.0,0.0020118038637904935,198,0.8746654516810269,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm1seqr,dm1seqr_tanh_h512_12k_lr0006_seqbest_no_l2_seed2,2,100002,261632,1.0,38.052196947162564,3782.0802675309105,5.683858549560265,11.578375903346485,29.101328410437816,58.07090092905639,289.760633934675,2712.0137885639488,1893585.433001031,0.28897459026418787,0.14524599437377692,52294.406017568464,1.0,0.0020114195098730036,201,0.8744395005575196,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,0,100000,261632,1.0,43.52319720046942,3016.213160649104,5.740531784163005,11.853983287096554,29.62271837956637,58.847471774795615,297.05471743265235,2843.8961813244196,1320179.9936541542,0.29472312255381605,0.14836870107632094,52249.81765538603,1.0,0.002060939299006594,323,0.9479313699126011,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,1,100001,261632,1.0,43.54338601416463,3038.746250692056,5.743895293209853,11.84815844089668,29.593072209557032,58.74850418542527,297.5294122762323,2813.2386760091495,1335923.9901296385,0.29474605552837574,0.14831136863992173,52250.19128301632,1.0,0.0020613968470262665,315,0.9482639166797525,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed0,2,100002,261632,1.0,43.562687128369475,3041.8061951579753,5.7439737937996025,11.85506847975077,29.61623578457183,58.77693222810304,296.89751194609096,2831.1056884884515,1336130.921514719,0.29477281066536204,0.14842603351272016,52248.07584825902,1.0,0.0020618188138546087,325,0.948078222966593,nan,-1
S-NP,S-NP rescale,0.8,modcog:dm2seql,dm2seql_tanh_h512_12k_lr0006_seqbest_no_l2_seed1,0,100000,261632,1.0,41.00105455281757,2241.1216965666717,5.6933118103248,11.669919488647036,29.179429808874495,58.83833714735655,300.2063713686058,3272.736860344325,950800.8850038208,0.29121437744618395,0.14591487279843443,52285.29233570825,1.0,0.002066955139355335,229,0.9583903567410128,nan,-1
