method_order,method,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_acc_sequence_mean,post_acc_sequence_sd,post_acc_sequence_sem,sequence_retention_mean,sequence_retention_sd,sequence_retention_sem,effective_nonzero_recurrent_density_offdiag_mean,effective_nonzero_recurrent_density_offdiag_sd,effective_nonzero_recurrent_density_offdiag_sem,post_rec_linear_rho_mean,post_rec_linear_rho_sd,post_rec_linear_rho_sem,post_rec_linear_rho_ratio_to_unpruned_mean,post_rec_linear_rho_ratio_to_unpruned_sd,post_rec_linear_rho_ratio_to_unpruned_sem,n_tasks,post_acc_sequence_taskmean_sd,post_acc_sequence_taskmean_sem,sequence_retention_taskmean_sd,sequence_retention_taskmean_sem,effective_nonzero_recurrent_density_offdiag_taskmean_sd,effective_nonzero_recurrent_density_offdiag_taskmean_sem,post_rec_linear_rho_taskmean_sd,post_rec_linear_rho_taskmean_sem,post_rec_linear_rho_ratio_to_unpruned_taskmean_sd,post_rec_linear_rho_ratio_to_unpruned_taskmean_sem
3,OBS compensated,70,24,24,24,1,1,0.2511100722895579,0.12939661294422244,0.026412973013146494,0.381701844673741,0.19921576432972898,0.04066474761053184,0.30058631971624267,0.0,0.0,1.130211388071378,0.08308166598314745,0.016958974053254815,0.9869534839542887,0.03713789071915696,0.007580740198764798,8,0.09602269327385135,0.033949148780868084,0.1529781762201854,0.05408595288942187,0.0,0.0,0.0770817941875736,0.027252529688029548,0.03579525454780338,0.012655533612525185
3,OBS compensated,80,24,24,24,1,1,0.08476045083079446,0.07160151641009632,0.01461559833452103,0.1373256005784781,0.12458389033128645,0.025430580123542545,0.20039215386497064,0.0,0.0,1.1243184208869934,0.06388036546509335,0.013039524997665577,0.9835390649301304,0.05335089312985216,0.0108902054574912,8,0.06393551003639075,0.022604616352676233,0.10913769740680929,0.03858600295972016,0.0,0.0,0.05612836325363265,0.019844373136772737,0.05376029011906118,0.019007132850872153
4,L-NP mask,50,24,24,24,1,1,0.5280530291768434,0.1463422631489916,0.029871989376594302,0.7819956104794148,0.16774718423913315,0.03424125059787639,0.5,0.0,0.0,1.1386728435754776,0.10475536181155624,0.02138309868824564,0.9923204705946532,0.012247485136092619,0.0025000074346456925,8,0.14435656815950593,0.051037754127202344,0.1271491829457204,0.0449540247416239,0.0,0.0,0.1046313433127256,0.036992766190542994,0.011316785799124235,0.004001087989898184
4,L-NP mask,60,24,24,24,1,1,0.2876730475158826,0.1017929755345546,0.020778404121605875,0.43888428141297614,0.18419477408181734,0.0375986008156397,0.4000007644324854,5.670507601865373e-17,1.1574875172619392e-17,1.1338352064291637,0.09837883455772635,0.020081495513009497,0.988623196229713,0.018778605421207246,0.003833166780251645,8,0.09815358124010609,0.03470253144631186,0.16989620845644934,0.06006738054871929,0.0,0.0,0.0971032909899968,0.03433119776727866,0.017598223190722188,0.00622191147749701
4,L-NP mask,70,24,24,24,1,1,0.11886855119044566,0.08593175862400429,0.017540746777401535,0.19137533743793833,0.1476526931913938,0.030139479788885894,0.30000152886497067,0.0,0.0,1.1294245719909668,0.08892378029630844,0.018151490643776035,0.9856056859445864,0.02852909271856559,0.005823476665419723,8,0.08710555794102501,0.03079646534956825,0.14748173991857202,0.05214266919880651,0.0,0.0,0.08587274632458355,0.030360600622612602,0.02775519080171934,0.009812941814511115
4,L-NP mask,80,24,24,24,1,1,0.0600470770652339,0.038014767886377025,0.007759732000996991,0.09627691003101495,0.06550113233553584,0.013370362649714885,0.19999847113502936,0.0,0.0,1.1271400700012844,0.07527003480122282,0.015364431515377348,0.9850441429408866,0.046452232036486865,0.009482022158563226,8,0.037724130756561135,0.01333749433616619,0.0636959890569555,0.02251993289827868,0.0,0.0,0.06864002959323191,0.02426791519310979,0.04591678307113394,0.016234034339935238
5,L-NP rescale,50,24,24,72,3,3,0.6131624866978856,0.09398826633546392,0.019185274527557698,0.9126139180803964,0.10164444666392843,0.020748085792847044,0.4501528440285932,0.03506656403219846,0.007157932409293305,1.1585907340049744,0.1101807329049347,0.02249054792524755,1.0094456521094175,0.012576897973441883,0.0025672485484980363,8,0.07785431307326036,0.02752565635936144,0.07730809447257082,0.02733253892108254,0.02605877246973827,0.009213167361374622,0.11077065152757232,0.03916333942579919,0.009578844952618619,0.003386633110965579
5,L-NP rescale,60,24,24,72,3,3,0.5318980107622654,0.10031487833683685,0.020476688794552025,0.799799167122048,0.17097153459551048,0.03489941835830019,0.37156276118109915,0.027881761122939733,0.005691340656780972,1.1703217211696837,0.10312615270344022,0.02105053777164738,1.0204619853920902,0.023874240308360852,0.004873308896005884,8,0.07326612051080315,0.025903485322209853,0.14826792269862413,0.05242062678631997,0.02008795893850888,0.007102165992808275,0.10292064156938541,0.036387941788891244,0.01886907739275419,0.006671226289575133
5,L-NP rescale,70,24,24,72,3,3,0.376677381105857,0.1398168115259132,0.0285399871417811,0.5808041980979108,0.25884158201176466,0.052835816678632366,0.2850830449724125,0.019258420048906877,0.003931108531000609,1.193833311398824,0.08819015400714252,0.018001739804580367,1.0424285295478597,0.03752744709624174,0.007660258061256877,8,0.13844404359146922,0.048947361019206936,0.2600447648556709,0.09193970832075304,0.013215416670466907,0.004672355371946447,0.0863374137800877,0.030524885377004443,0.03504015652727106,0.012388566147135717
5,L-NP rescale,80,24,24,72,3,3,0.23782098873306165,0.1907465556339176,0.038935977624708504,0.37768665695508674,0.3270798009948121,0.06676488480069628,0.19381341604492827,0.010589268898607814,0.002161525462559397,1.2379856705665588,0.06286180300523667,0.012831611806182,1.0836903414648036,0.06666788527565115,0.013608525096312765,8,0.19861028576813547,0.07021933994002331,0.3403785314802517,0.12034198389000235,0.006682078391279732,0.0023624714714469974,0.05894782591866269,0.020841203721645257,0.06558177893058223,0.02318666030204587
6,S-NP mask,50,24,24,72,3,3,0.5891131833515483,0.10028362476236893,0.02047030918537832,0.8751708163155653,0.08969717099826857,0.018309358359743972,0.5,0.0,0.0,1.1248608761363559,0.09971803880558426,0.020354859435394466,0.9807639341437717,0.022028804143377795,0.004496610816248624,8,0.09613252627443107,0.03398798061062208,0.07025485020214503,0.024838840494590918,0.0,0.0,0.0969117502811129,0.03426347790021612,0.020761850820270045,0.007340422752498216
6,S-NP mask,60,24,24,72,3,3,0.37781194312817984,0.1091128954501022,0.022272576517533223,0.5818444804781049,0.21220988190631235,0.04331716075389514,0.4000007644324854,0.0,0.0,1.1136967175536685,0.09101637916140999,0.0185786405984282,0.9718266422071439,0.03221092943475282,0.006575028437994983,8,0.08523523707599324,0.030135207066238928,0.18078243578832145,0.06391624313267184,0.0,0.0,0.08628365779677892,0.030505879766840948,0.031104121291191895,0.01099696754392533
6,S-NP mask,70,24,24,72,3,3,0.18827651276123583,0.12842551608312813,0.026214748696438205,0.3026635619996585,0.2261040779360159,0.04615330164214327,0.30000152886497067,0.0,0.0,1.1054589466916191,0.07964711179867014,0.01625789861609563,0.9658516108372406,0.04640848840759162,0.009473093027705642,8,0.12283011127839873,0.04342700230942698,0.2103341740878223,0.07436436040638547,0.0,0.0,0.07248752190605783,0.025628209145590948,0.045918147042281615,0.01623451657655917
6,S-NP mask,80,24,24,72,3,3,0.09136758972493941,0.06477645119672122,0.013222437731688647,0.14687521469295703,0.11386354598722379,0.02324229899771878,0.19999847113502936,0.0,0.0,1.093560097946061,0.06985523032573858,0.014259139180221089,0.9564733527775663,0.05634372825818865,0.011501115369882983,8,0.06022036982414405,0.021291115934106996,0.10277948375020048,0.03633803496330966,0.0,0.0,0.06238666312166589,0.022057016274465324,0.056733128374327126,0.02005818989570682
7,S-NP rescale,50,24,24,72,3,3,0.6167439150830499,0.08519083308344579,0.017389505984754524,0.9171891543674398,0.06847218914163394,0.013976827080695172,0.4659447982068113,0.00877076204757165,0.0017903243059932284,1.156928430000941,0.10938089215606574,0.022327281116063004,1.0080416296310668,0.011253230627665128,0.0022970560829699365,8,0.07875884175426916,0.02784545554142096,0.054015993764847905,0.01909753774182711,0.008471939703288092,0.0029952830069992784,0.10954252358413082,0.038729130627313105,0.010119526580597017,0.003577792933768833
7,S-NP rescale,60,24,24,72,3,3,0.5384140988414079,0.07350703786335806,0.01500456127238919,0.8095279634034518,0.1412033980985028,0.028823022940701028,0.3862046160680311,0.005748172477148621,0.0011733407935436767,1.1683620313803356,0.1012745583564238,0.020672582658246376,1.0187930008163812,0.020169922446170684,0.00411716817871894,8,0.06416203680240011,0.02268470565885897,0.12512525170504468,0.04423845698915535,0.0053071683790622695,0.001876367374866874,0.10110070768233438,0.03574449799246876,0.019058593415728083,0.006738230322069306
7,S-NP rescale,70,24,24,72,3,3,0.38645361673211426,0.13046335187441072,0.0266307201854568,0.5964377786653615,0.25067506616763674,0.051168833612426724,0.2960366723744292,0.002836101580916704,0.0005789168109955518,1.1896186619997025,0.08758285512146442,0.01787777543864102,1.0386484927476294,0.03380952374056337,0.006901340134241194,8,0.12922190846402393,0.04568684387638932,0.2456840688292569,0.08686243554933501,0.0024511028118053314,0.0008665957098064819,0.0857784694129377,0.030327268700845546,0.03408479635851823,0.01205079532023539
7,S-NP rescale,80,24,24,72,3,3,0.24152605338987912,0.17878711421462784,0.036494766867544624,0.38180097205665736,0.3099234894590654,0.06326286737312926,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,1.232920582095782,0.06437701334047333,0.013140902820708771,1.0788431444073099,0.06018079874023545,0.012284354102225463,8,0.18590146104200306,0.06572609186764357,0.32121040268348827,0.11356502696257807,0.0006733752228709949,0.00023807409318754162,0.060878702694162276,0.021523871752440943,0.06152181775663161,0.02175124726331858
