method,family,method_label,cap_quantile,cap_percentile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,sequence_retention_mean,sequence_retention_sd,sequence_retention_sem,post_acc_sequence_mean,post_acc_sequence_sd,post_acc_sequence_sem,effective_nonzero_recurrent_density_offdiag_mean,effective_nonzero_recurrent_density_offdiag_sd,effective_nonzero_recurrent_density_offdiag_sem,candidate_edge_cap_value_mean,candidate_edge_cap_value_sd,candidate_edge_cap_value_sem,post_rec_linear_rho_mean,post_rec_linear_rho_sd,post_rec_linear_rho_sem,post_rec_linear_rho_ratio_to_unpruned_mean,post_rec_linear_rho_ratio_to_unpruned_sd,post_rec_linear_rho_ratio_to_unpruned_sem
S-NP capped rescale,S-NP,S-NP capped q20,0.2,20,70,24,24,72,3,3,0.504452046510418,0.2552862289193532,0.05211008326764617,0.3215508337995986,0.13710102627034784,0.027985629797855342,0.2960366723744292,0.002836101580916704,0.0005789168109955518,2.1494173501805736,0.022362240755891893,0.004564673279767095,1.1434159659677083,0.08642023600618755,0.017640456805504825,0.998256036520095,0.034648419459864535,0.007072579005882271
S-NP capped rescale,S-NP,S-NP capped q20,0.2,20,80,24,24,72,3,3,0.3822491395388423,0.28043428180592517,0.05724340806736508,0.24051131558650626,0.15863797793757178,0.032381841647828855,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,3.224126025270861,0.033543361133837886,0.006847009919650652,1.1748939057191212,0.06885394341684638,0.014054752345811546,1.0274239237463978,0.05110196221128605,0.01043114435605323
S-NP capped rescale,S-NP,S-NP capped q30,0.3,30,50,24,24,72,3,3,0.8692010967981766,0.101470123155956,0.020712502155788338,0.5845501523787444,0.09978735051386341,0.020369007628601513,0.4659447982068113,0.00877076204757165,0.0017903243059932284,1.5779988832839973,0.034072131100318426,0.0069549446370828095,1.1345983859565523,0.1013215351937831,0.020682171765018045,0.9891093977703734,0.017369967207553263,0.0035456297089484904
S-NP capped rescale,S-NP,S-NP capped q30,0.3,30,60,24,24,72,3,3,0.8015353608562513,0.13770878899886957,0.028109688845318666,0.5362180237002557,0.09618895841467094,0.01963448891714451,0.3862046160680311,0.005748172477148621,0.0011733407935436767,1.9724986041049968,0.04259016387539808,0.008693680796353522,1.1399190210633807,0.09774190685738386,0.019951483190602547,0.994107566555694,0.02157302927673679,0.004403576161177331
S-NP capped rescale,S-NP,S-NP capped q30,0.3,30,70,24,24,72,3,3,0.6278955233387866,0.2205559747022375,0.04502079981188974,0.40919160036454244,0.10988165282459848,0.02242949845949302,0.2960366723744292,0.002836101580916704,0.0005789168109955518,2.6299981388066622,0.056786885167197335,0.011591574395138008,1.1552549484703276,0.08777189672069186,0.017916363393496598,1.0084932820229262,0.032905676602257274,0.006716843109714135
S-NP capped rescale,S-NP,S-NP capped q30,0.3,30,80,24,24,72,3,3,0.4253971765311617,0.28988822172906087,0.059173185473249186,0.270251383917315,0.16247941414729358,0.03316597153060131,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,3.9449972082099944,0.08518032775079608,0.017387361592707026,1.1911745452218585,0.06765440112873998,0.013809896801582271,1.041814998409993,0.05298670021835038,0.01081586489073137
S-NP capped rescale,S-NP,S-NP capped q40,0.4,40,50,24,24,72,3,3,0.9275468239182874,0.05625316424688109,0.011482629068486055,0.6253246019046351,0.09706984850873304,0.019814299854638215,0.4659447982068113,0.00877076204757165,0.0017903243059932284,1.9204102695800638,0.06114334953474054,0.012480833960396131,1.1407639847861397,0.10437321248307654,0.021305092783218765,0.9942555513591133,0.014214107369142909,0.0029014425169611954
S-NP capped rescale,S-NP,S-NP capped q40,0.4,40,60,24,24,72,3,3,0.8656412501938365,0.10473419391405596,0.021378777809262037,0.5817811335966344,0.09773578961539897,0.019950234513811206,0.3862046160680311,0.005748172477148621,0.0011733407935436767,2.40051283697508,0.07642918691842561,0.01560104245049515,1.14794865085019,0.09944123672715509,0.020298357447736688,1.0010090062069994,0.020147146380475867,0.00411251903377724
S-NP capped rescale,S-NP,S-NP capped q40,0.4,40,70,24,24,72,3,3,0.6695834395911854,0.2091763650233358,0.04269794671311092,0.43894414308084,0.10396041170336107,0.02122083017690827,0.2960366723744292,0.002836101580916704,0.0005789168109955518,3.200683782633439,0.10190558255790091,0.020801389933993556,1.1651403291357887,0.08822117342947909,0.018008071617650407,1.0171175834360067,0.03248627604096617,0.006631233328630796
S-NP capped rescale,S-NP,S-NP capped q40,0.4,40,80,24,24,72,3,3,0.43406881298828215,0.2968349213759912,0.06059117460086181,0.276512249022663,0.16688926555492606,0.03406612867978411,0.19944776123206132,0.0008914703462306245,0.00018197062242394026,4.801025673950161,0.15285837383685136,0.03120208490099033,1.2037080211771858,0.06648739674930862,0.013571683030148924,1.0529297284531045,0.054951178736652964,0.011216862389106377
