family,method,cap_percentile,cap_quantile,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_rec_ct_abscissa_mean,post_rec_ct_abscissa_sd,post_rec_ct_abscissa_sem,abs_post_rec_ct_abscissa_mean,abs_post_rec_ct_abscissa_sd,abs_post_rec_ct_abscissa_sem,raw_post_rec_ct_abscissa_mean,raw_abs_post_rec_ct_abscissa_mean
L-NP,L-NP capped rescale,40,0.4,50,24,24,72,3,3,1.1020793215268188,0.7341990394337388,0.1498677513545171,1.1020793215268188,0.7341990394337388,0.1498677513545171,1.1020793215268188,1.1020793215268188
L-NP,L-NP capped rescale,40,0.4,60,24,24,72,3,3,1.176294172803561,0.6934036012354688,0.1415404174029332,1.176294172803561,0.6934036012354688,0.1415404174029332,1.176294172803561,1.176294172803561
L-NP,L-NP capped rescale,40,0.4,70,24,24,72,3,3,1.4060470552908049,0.5811766249170566,0.11863218178997305,1.4060470552908049,0.5811766249170566,0.11863218178997305,1.4060470552908049,1.4060470552908049
L-NP,L-NP capped rescale,40,0.4,80,24,24,72,3,3,1.8791137834390004,0.396844074976193,0.08100545759487195,1.8791137834390004,0.396844074976193,0.08100545759487195,1.8791137834390004,1.8791137834390004
L-NP,L-NP capped rescale,50,0.5,50,24,24,72,3,3,1.1320518172449536,0.744439787579011,0.15195813531620628,1.1320518172449536,0.744439787579011,0.15195813531620628,1.1320518172449536,1.1320518172449536
L-NP,L-NP capped rescale,50,0.5,60,24,24,72,3,3,1.2318113048871357,0.6943053219180402,0.141724480366501,1.2318113048871357,0.6943053219180402,0.141724480366501,1.2318113048871357,1.2318113048871357
L-NP,L-NP capped rescale,50,0.5,70,24,24,72,3,3,1.47680141362879,0.5791501653648174,0.11821853246602515,1.47680141362879,0.5791501653648174,0.11821853246602515,1.4768014136287901,1.4768014136287901
L-NP,L-NP capped rescale,50,0.5,80,24,24,72,3,3,1.9733794894483356,0.38821003023061224,0.07924304059128602,1.9733794894483356,0.38821003023061224,0.07924304059128602,1.9733794894483354,1.9733794894483354
L-NP,L-NP capped rescale,60,0.6,50,24,24,72,3,3,1.1622611230446234,0.7511254301153022,0.15332283638425298,1.1622611230446234,0.7511254301153022,0.15332283638425298,1.1622611230446234,1.1622611230446234
L-NP,L-NP capped rescale,60,0.6,60,24,24,72,3,3,1.2786527110470665,0.6960519865301525,0.1420810167874553,1.2786527110470665,0.6960519865301525,0.1420810167874553,1.2786527110470667,1.2786527110470667
L-NP,L-NP capped rescale,60,0.6,70,24,24,72,3,3,1.5344421052270463,0.579045217038235,0.11819710997856799,1.5344421052270463,0.579045217038235,0.11819710997856799,1.5344421052270465,1.5344421052270465
L-NP,L-NP capped rescale,60,0.6,80,24,24,72,3,3,2.0468641486432815,0.3858271806491604,0.0787566434572559,2.0468641486432815,0.3858271806491604,0.0787566434572559,2.046864148643282,2.046864148643282
L-NP,L-NP capped rescale,70,0.7,50,24,24,72,3,3,1.188302434153027,0.7547760423461387,0.15406801448544571,1.188302434153027,0.7547760423461387,0.15406801448544571,1.188302434153027,1.188302434153027
L-NP,L-NP capped rescale,70,0.7,60,24,24,72,3,3,1.3147988170385358,0.6980276401634855,0.14248429539663376,1.3147988170385358,0.6980276401634855,0.14248429539663376,1.314798817038536,1.314798817038536
L-NP,L-NP capped rescale,70,0.7,70,24,24,72,3,3,1.5769134627448187,0.5801359785712328,0.11841976074414304,1.5769134627448187,0.5801359785712328,0.11841976074414304,1.5769134627448187,1.5769134627448187
L-NP,L-NP capped rescale,70,0.7,80,24,24,72,3,3,2.105840949548615,0.385885785733204,0.07876860616994254,2.105840949548615,0.385885785733204,0.07876860616994254,2.1058409495486154,2.1058409495486154
L-NP,L-NP capped rescale,80,0.8,50,24,24,72,3,3,1.205604214221239,0.7548963972446193,0.15409258182622254,1.205604214221239,0.7548963972446193,0.15409258182622254,1.205604214221239,1.205604214221239
L-NP,L-NP capped rescale,80,0.8,60,24,24,72,3,3,1.341928025914563,0.6953116771165098,0.14192990176118833,1.341928025914563,0.6953116771165098,0.14192990176118833,1.3419280259145632,1.3419280259145632
L-NP,L-NP capped rescale,80,0.8,70,24,24,72,3,3,1.608322802517149,0.5744187437904563,0.11725273508142676,1.608322802517149,0.5744187437904563,0.11725273508142676,1.6083228025171492,1.6083228025171492
L-NP,L-NP capped rescale,80,0.8,80,24,24,72,3,3,2.149221827586492,0.3818579158868709,0.07794642068045433,2.149221827586492,0.3818579158868709,0.07794642068045433,2.149221827586492,2.149221827586492
L-NP,L-NP capped rescale,90,0.9,50,24,24,72,3,3,1.216897611816724,0.7540222729297347,0.15391415194762026,1.216897611816724,0.7540222729297347,0.15391415194762026,1.216897611816724,1.216897611816724
L-NP,L-NP capped rescale,90,0.9,60,24,24,72,3,3,1.3552117538121013,0.6953435577945902,0.14193640937735091,1.3552117538121013,0.6953435577945902,0.14193640937735091,1.3552117538121011,1.3552117538121011
