dataset,metric,unit,pruning_pct,method,n,mean,median,sd,sem,min,max,range
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,50,S-NP capped q50,24,1.1483278075853984,1.1008148789405823,0.10476867338432636,0.02138581590165903,1.0413050651550293,1.4022979736328125,0.3609929084777832
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,50,S-NP capped q75,24,1.1571110884348552,1.106248378753662,0.10667335677355473,0.021774607770422734,1.0572404861450195,1.4132237434387207,0.35598325729370117
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,50,S-NP capped q90,24,1.1590561419725418,1.1076394319534302,0.1071283253381871,0.021867477839785713,1.0609138011932373,1.4148200750350952,0.3539062738418579
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,50,S-NP rescale,24,1.1593510458866756,1.108148276805878,0.10736946668510028,0.021916700611104442,1.0614047050476074,1.4149409532546997,0.3535362482070923
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,60,Baseline,24,1.1485160638888676,1.0886936783790588,0.116748702775316,0.023831229160948212,1.027032732963562,1.411774754524231,0.38474202156066895
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,60,S-NP capped q50,24,1.1561862975358963,1.121866524219513,0.09900373668670964,0.020209053125941828,1.064747333526611,1.3964358568191528,0.3316885232925417
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,60,S-NP capped q75,24,1.1670296490192413,1.1274933815002441,0.09937761972335231,0.020285371681213228,1.074974775314331,1.4056802988052368,0.33070552349090576
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,60,S-NP capped q90,24,1.170058622956276,1.1338108777999878,0.09883288003071104,0.020174177157078928,1.0822803974151611,1.4068918228149414,0.3246114253997803
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,60,S-NP rescale,24,1.170887420574824,1.1335822343826294,0.09869824609822235,0.020146695120690457,1.084034442901611,1.407239317893982,0.3232048749923708
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,70,Baseline,24,1.1485160638888676,1.0886936783790588,0.116748702775316,0.023831229160948212,1.027032732963562,1.411774754524231,0.38474202156066895
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,70,S-NP capped q50,24,1.172053764263789,1.1304336190223694,0.08674122310873753,0.017705978023443314,1.102368712425232,1.3929849863052368,0.2906162738800049
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,70,S-NP capped q75,24,1.1835516492525737,1.1362828612327576,0.08653399836348359,0.01766367844944745,1.1157283782958984,1.4049952030181885,0.28926682472229004
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,70,S-NP capped q90,24,1.1870952248573303,1.1411644220352173,0.08588758244307347,0.017531729352229422,1.120900273323059,1.4085633754730225,0.2876631021499634
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,70,S-NP rescale,24,1.1880408277114232,1.1414004564285278,0.08569069950861823,0.01749154079152299,1.1203844547271729,1.4096717834472656,0.2892873287200928
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,80,Baseline,24,1.1485160638888676,1.0886936783790588,0.116748702775316,0.023831229160948212,1.027032732963562,1.411774754524231,0.38474202156066895
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,80,S-NP capped q50,24,1.2113890151182811,1.1788068413734436,0.06718840601510563,0.013714775947329404,1.1667014360427856,1.4245706796646118,0.25786924362182617
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,80,S-NP capped q75,24,1.2259013255437214,1.1947426795959473,0.06505148201904387,0.013278578163207693,1.1810146570205688,1.4385194778442385,0.25750482082366966
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,80,S-NP capped q90,24,1.2292772978544235,1.1998226046562195,0.06388675724065528,0.013040829713388671,1.1878801584243774,1.4387362003326416,0.25085604190826416
exploratory_capped_probe_h512,post_rec_linear_rho,task_network_cell,80,S-NP rescale,24,1.2307076056798298,1.2007959485054016,0.06380325955510217,0.013023785819696298,1.1881262063980105,1.4374110698699951,0.24928486347198464
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,50,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,50,S-NP capped q50,8,1.0008811449006678,1.0051183901016307,0.014234595351427987,0.005032689450220618,0.981347759291635,1.019044390528915,0.037696631237280065
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,50,S-NP capped q75,8,1.0084319416712009,1.0083849368540647,0.012533466702392167,0.0044312496485186485,0.9940422928977745,1.029151797435963,0.03510950453818851
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,50,S-NP capped q90,8,1.0100989660076412,1.0099605199780832,0.011912325174958454,0.004211642955456174,0.9972386106518328,1.0301653202852956,0.03292670963346278
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,50,S-NP rescale,8,1.01033951853219,1.010124068784654,0.01177881497937951,0.0041644399731304675,0.997743992650428,1.0306015170281877,0.032857524377759684
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,60,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,60,S-NP capped q50,8,1.0083064889689173,1.0140663743676983,0.020781256365264917,0.007347283648727464,0.9796438752283523,1.0336055852935333,0.05396171006518102
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,60,S-NP capped q75,8,1.017785008942035,1.0224030353303415,0.019899286116551368,0.007035460076892395,0.9926004123812145,1.0427921747646123,0.05019176238339773
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,60,S-NP capped q90,8,1.0204786706600428,1.0251852191878692,0.020226504058186143,0.0071511490896203215,0.9958756813827226,1.0483601694622744,0.05248448807955175
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,60,S-NP rescale,8,1.021223406116511,1.0259877925438068,0.020613577931999253,0.00728800037011702,0.9963457987543126,1.0504842923726805,0.05413849361836787
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,70,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,70,S-NP capped q50,8,1.0233680558771594,1.02721653094365,0.03523642924479975,0.01245795903189894,0.9795082890217035,1.0689727919925476,0.08946450297084407
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,70,S-NP capped q75,8,1.0334775268762317,1.0354766354839784,0.03562438117345102,0.012595120751660796,0.9889847523571716,1.0831726647163407,0.09418791235916901
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,70,S-NP capped q90,8,1.0366162906088405,1.0402680022159154,0.03576760051164102,0.012645756434276394,0.9902933047815838,1.0872843411742092,0.09699103639262541
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,70,S-NP rescale,8,1.0374615021948688,1.0413401801689566,0.036059920586730514,0.012749107187962766,0.9908425906438181,1.0884053229563844,0.09756273231256629
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,80,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,80,S-NP capped q50,8,1.0597803860240447,1.0809207636024758,0.05932025737680035,0.020972878126433423,0.98254165154222,1.1367185381046678,0.15417688656244788
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,80,S-NP capped q75,8,1.0727775211915604,1.0943109703373417,0.0631878352293067,0.022340273389570495,0.9934011942388662,1.1546872429657113,0.16128604872684515
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,80,S-NP capped q90,8,1.0758454461521665,1.0967129567511256,0.06447610004418523,0.022795743782852818,0.9972599415697617,1.1622594808978672,0.16499953932810552
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_mean,80,S-NP rescale,8,1.0770616799338426,1.0970164934524593,0.06395574099365349,0.022611769076211423,0.9994881762295978,1.164041983133781,0.1645538069041831
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,50,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,50,S-NP capped q50,24,1.0008811449006678,1.0005263606846166,0.015531378676227366,0.0031703293965583594,0.9764333857011248,1.0293265135674368,0.05289312786631195
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,50,S-NP capped q75,24,1.008431941671201,1.004893694771391,0.014095207341101621,0.002877172150369215,0.99129818870983,1.0367251170215095,0.04542692831167949
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,50,S-NP capped q90,24,1.0100989660076412,1.0039843997465328,0.013858112315246304,0.0028287753308777553,0.9941674738247368,1.0410706590231156,0.04690318519837877
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,50,S-NP rescale,24,1.01033951853219,1.0043615160010133,0.013842967517358928,0.0028256839119542845,0.9944972023097078,1.0426317324240184,0.04813453011431057
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,60,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,60,S-NP capped q50,24,1.0083064889689173,1.0050404875127152,0.022447592442783514,0.00458209561989795,0.9777827923701856,1.0575372190486465,0.07975442667846089
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,60,S-NP capped q75,24,1.0177850089420353,1.0123665471549779,0.022226340716657227,0.004536932800421333,0.9896142392491056,1.070236279224475,0.08062203997536943
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,60,S-NP capped q90,24,1.0204786706600426,1.0177768187466008,0.022270846885491653,0.004546017584092208,0.9927842226194916,1.0735671010410717,0.08078287842158005
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,60,S-NP rescale,24,1.021223406116511,1.019937168957887,0.022660609258120037,0.004625577495248547,0.992977632542274,1.0745547395467243,0.08157710700445031
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,70,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,70,S-NP capped q50,24,1.0233680558771594,1.0343723040469581,0.03592146272783961,0.007332437874800948,0.9731569694426808,1.085025685455846,0.11186871601316517
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,70,S-NP capped q75,24,1.0334775268762317,1.0404383786810794,0.036622178311437006,0.00747547084435346,0.9759316290290272,1.0953171510236062,0.11938552199457897
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,70,S-NP capped q90,24,1.0366162906088405,1.045725998065354,0.03649382116436648,0.00744927005142328,0.9766639367726768,1.0975839124820452,0.12091997570936841
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,70,S-NP rescale,24,1.037461502194869,1.0473843711720834,0.036625680825145175,0.007476185791970303,0.976654248026344,1.0986969226528154,0.12204267462647134
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,80,Baseline,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,80,S-NP capped q50,24,1.0597803860240445,1.0797928990541206,0.05781436614603333,0.011801308071684972,0.9736314243704794,1.139077802177958,0.1654463778074785
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,80,S-NP capped q75,24,1.0727775211915604,1.094304568633718,0.061735959746799594,0.0126018000133884,0.9788941426414912,1.1696109269196946,0.19071678427820338
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,80,S-NP capped q90,24,1.0758454461521667,1.0954965278255626,0.06299702354093602,0.012859213582449434,0.9794202953937278,1.174580640138496,0.19516034474476818
exploratory_capped_probe_h512,post_rec_linear_rho_ratio_to_unpruned,task_network_cell,80,S-NP rescale,24,1.0770616799338426,1.094696884656762,0.06240923686849452,0.01273923213035859,0.9799569442878246,1.1764113446556923,0.19645440036786765
exploratory_capped_probe_h512,sequence_retention,task_mean,50,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,sequence_retention,task_mean,50,S-NP capped q50,8,0.9501804168857312,0.9526028184089232,0.04283079503853201,0.015142972807678559,0.8729096055594482,0.995868932162779,0.12295932660333087
exploratory_capped_probe_h512,sequence_retention,task_mean,50,S-NP capped q75,8,0.9382816853044841,0.9447700990713765,0.047003961667885015,0.016618410018997016,0.8625637651464969,0.9960037575115767,0.13343999236507975
exploratory_capped_probe_h512,sequence_retention,task_mean,50,S-NP capped q90,8,0.9216990011652748,0.9176083051167874,0.054763729199146835,0.01936190213989023,0.8362774181785916,0.9960652181340469,0.15978779995545533
exploratory_capped_probe_h512,sequence_retention,task_mean,50,S-NP rescale,8,0.9177034784461136,0.9143346166934401,0.05688033718769466,0.020110236070798124,0.8285655468351929,0.995878747708666,0.16731320087347312
exploratory_capped_probe_h512,sequence_retention,task_mean,60,Baseline,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0
exploratory_capped_probe_h512,sequence_retention,task_mean,60,S-NP capped q50,8,0.8860488093185173,0.8798755300659342,0.07574859842334948,0.026781173805263517,0.7653217507468515,0.9876190146882818,0.22229726394143035
exploratory_capped_probe_h512,sequence_retention,task_mean,60,S-NP capped q75,8,0.8411264943426529,0.8444711035992543,0.11184920494908014,0.03954466564490926,0.6890209474935239,0.9904732846531847,0.3014523371596608
exploratory_capped_probe_h512,sequence_retention,task_mean,60,S-NP capped q90,8,0.8155162602533661,0.8161036790029101,0.12833324544666236,0.04537265405350629,0.6306904581366638,0.9882623393569276,0.35757188122026384
exploratory_capped_probe_h512,sequence_retention,task_mean,60,S-NP rescale,8,0.8095927664981717,0.8089085431310998,0.13118961790086064,0.04638253421948532,0.6227315892997579,0.9877183233794972,0.36498673407973925
